train/cls_loss,train/dice_loss,train/total_loss,train/mAP@50,train/mAP@50-95,valid/cls_loss,valid/dice_loss,valid/total_loss,valid/mAP@50,valid/mAP@50-95
0.6068483591079712,0.39090844988822937,0.9977570176124573,0.6007906198501587,0.12319982051849365,0.48601773381233215,0.3225850760936737,0.8086029291152954,0.8104541897773743,0.2463965266942978
0.34907200932502747,0.21488875150680542,0.5639610290527344,0.8512049913406372,0.524657130241394,0.1961452215909958,0.11514730751514435,0.31129273772239685,0.9059643149375916,0.7912617325782776
0.15868264436721802,0.08513317257165909,0.2438158243894577,0.9126805067062378,0.8529621958732605,0.10496276617050171,0.05542633309960365,0.16038915514945984,0.9382364153862,0.9015589952468872
0.10592629015445709,0.05295237526297569,0.15887874364852905,0.9369848966598511,0.9113515019416809,0.08866067975759506,0.043270137161016464,0.13193082809448242,0.9461074471473694,0.9269357323646545
0.09330950677394867,0.04392709583044052,0.1372365951538086,0.9430532455444336,0.9246904850006104,0.08099276572465897,0.03851877897977829,0.11951150745153427,0.9500094652175903,0.9331969022750854
0.08834768831729889,0.040395986288785934,0.12874366343021393,0.9452909827232361,0.9289299249649048,0.079280324280262,0.03619033098220825,0.11547064781188965,0.9513702392578125,0.9376864433288574
0.08527640253305435,0.03803754970431328,0.12331395596265793,0.9476727247238159,0.9331378936767578,0.07685655355453491,0.0344429612159729,0.11129949986934662,0.9528475999832153,0.9397318959236145
0.08279850333929062,0.03655708208680153,0.11935555934906006,0.9489008188247681,0.9350770711898804,0.07455829530954361,0.03321864828467369,0.1077769473195076,0.9541221857070923,0.9408590197563171
0.08182370662689209,0.03543119132518768,0.11725488305091858,0.9497817158699036,0.9368455410003662,0.07251545041799545,0.032115016132593155,0.10463051497936249,0.955898106098175,0.9443535208702087
0.07848340272903442,0.03427866846323013,0.11276206374168396,0.9512313604354858,0.9383593201637268,0.07246864587068558,0.03155877813696861,0.10402746498584747,0.9563714265823364,0.9453533291816711
0.07808542251586914,0.03366788476705551,0.11175332963466644,0.9518313407897949,0.9395762085914612,0.07287205010652542,0.032029714435338974,0.10490173101425171,0.9553637504577637,0.9440426230430603
0.07745776325464249,0.03332705423235893,0.11078476160764694,0.9521098732948303,0.9398148059844971,0.07371874153614044,0.03159840404987335,0.10531710088253021,0.954459011554718,0.9426992535591125
0.07681214809417725,0.032764166593551636,0.10957635939121246,0.9526206851005554,0.9410082101821899,0.0709967091679573,0.030743492767214775,0.10174021869897842,0.9564267992973328,0.9454218149185181
0.0731588751077652,0.03164377436041832,0.1048026755452156,0.9545100927352905,0.9426183700561523,0.07032296061515808,0.029659753665328026,0.09998277574777603,0.9579180479049683,0.9490863680839539
